Citation,Method
Caetano-2002-AAAI,Transformational methods
Coyette-2007-INTERACT,Transformational methods
Dixon-2011-CHI,Transformational methods
Seifert-2011-MobileHCI,Transformational methods
Natarajan-2018-MOBILESoft,Transformational methods
Huang-2019-CHI,Transformational methods
Huang-2019-CHI,Search methods
Bao-2018-TSE,Transformational methods
Moran-2018-ICSE,Transformational methods
Moran-2018-TSE,Differential methods
Stocco-2018-FSE,Search methods
Tanno-2018-ICST,Differential methods
Bajammal-2018-ASE,Differential methods
Moran-2018-ASE,Differential methods
Xiao-2019-ICSE,Search methods

Delamaro-2011-STVR,Differential methods
Choudhary-2012-ICST,Differential methods
Choudhary-2010-ICSM,Differential methods
Alegroth-2013-ICST,Differential methods
Choudhary-2013-ICSE,Differential methods
Lin-2014-TSE,Differential methods
Mahajan-2014-ASE,Differential methods
Amalfitano-2014-WISE,Differential methods
Selay-2014-DICTA,Differential methods
Burg-2015-UIST,Differential methods
Mahajan-2015-ICST,Differential methods
Hori-2015-SEKE,Differential methods
Mahajan-2016-ICST,Differential methods
Feng-2016-ASE,Differential methods
Deka-2017-UIST,Differential methods
He-2016-ICWS,Differential methods
Kirac-2018-JSS,Differential methods
Xu-2018-TOIT,Differential methods
Scharf-2013-ICSE,Transformational methods
Semenenko-2013-ICSM,Transformational methods
Nguyen-2015-ASE,Transformational methods
Deka-2016-UIST,Transformational methods
Ponzanelli-2016-ICSE,Transformational methods
Patric-2016-ASE,Transformational methods
Wan-2017-STVR,Transformational methods
Bao-2017-EMSE,Transformational methods
Zhang-2017-ASE,Transformational methods
Reiss-2018-ASEj,Transformational methods
Bajammal-2018-ICST,Transformational methods
Kuchta-2018-EMSE,Transformational methods
Chang-2010-CHI,Search methods
Li-2010-CHI,Search methods
Chen-2017-IUI,Search methods
Leotta-2018-STVR,Search methods