Citation,Area
Caetano-2002-AAAI,Design
Coyette-2007-INTERACT,Design
Dixon-2011-CHI,Maintenance and Comprehension
Seifert-2011-MobileHCI,Design
Natarajan-2018-MOBILESoft,Maintenance and Comprehension
Huang-2019-CHI,Design
Alegroth-2013-ICST,Testing
Amalfitano-2014-WISE,Testing
Bajammal-2018-ICST,Testing
Bajammal-2018-ICST,Maintenance and Comprehension
Bajammal-2018-ASE,Development
Bajammal-2018-ASE,Maintenance and Comprehension
Bao-2017-EMSE,Development
Bao-2017-EMSE,Design
Bao-2018-TSE,Development
Burg-2015-UIST,Maintenance and Comprehension
Chang-2010-CHI,Testing

Chen-2017-IUI,Testing

Choudhary-2010-ICSM,Testing
Choudhary-2012-ICST,Testing
Choudhary-2013-ICSE,Testing
Deka-2016-UIST,Design
Deka-2016-UIST,Development
Deka-2016-UIST,Testing
Deka-2016-UIST,Maintenance and Comprehension
Deka-2017-UIST,Development
Deka-2017-UIST,Testing
Deka-2017-UIST,Maintenance and Comprehension
Deka-2017-UIST,Design
Delamaro-2011-STVR,Testing

Feng-2016-ASE,Testing
He-2016-ICWS,Testing

Hori-2015-SEKE,Testing
Kirac-2018-JSS,Testing
Kuchta-2018-EMSE,Testing

Leotta-2018-STVR,Testing
Leotta-2018-STVR,Maintenance and Comprehension
Li-2010-CHI,Requirements
Li-2010-CHI,Design

Lin-2014-TSE,Testing
Mahajan-2014-ASE,Testing
Mahajan-2015-ICST,Testing

Mahajan-2016-ICST,Testing

Moran-2018-ICSE,Testing

Moran-2018-TSE,Design
Moran-2018-TSE,Development
Moran-2018-ASE,Development
Nguyen-2015-ASE,Development
Nguyen-2015-ASE,Maintenance and Comprehension
Patric-2016-ASE,Testing
Ponzanelli-2016-ICSE,Development
Reiss-2018-ASEj,Development
Scharf-2013-ICSE,Requirements
Selay-2014-DICTA,Testing

Semenenko-2013-ICSM,Testing
Stocco-2018-FSE,Testing
Stocco-2018-FSE,Maintenance and Comprehension
Tanno-2018-ICST,Testing

Wan-2017-STVR,Testing
Wan-2017-STVR,Development
Xu-2018-TOIT,Testing

Xiao-2019-ICSE,Testing
Zhang-2017-ASE,Testing